"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"792997",2006,8,9,9,9,9,2,9,2,9,0,0,218
"986739",2008,7,2,0,9,9,2,0,2,9,0,0,771
"845393",2007,5,1,0,9,9,2,0,1,9,0,0,877
"996805",2008,8,1,1,1,1,2,0,2,2,0,0,32
"481428",2004,3,1,0,9,9,3,0,1,2,0,0,97
"169906",2001,6,5,0,9,9,1,1,2,3,0,0,11
"333718",2002,10,1,0,9,9,9,0,2,2,0,0,148
"537807",2004,6,9,9,9,9,9,9,9,9,9,9,5518
"801853",2006,9,9,0,9,1,1,0,2,9,0,0,24
"1126577",2009,10,1,9,2,9,2,0,2,2,0,0,1
"29058",2000,5,1,9,9,9,9,9,9,2,1,9,34
"154519",2001,6,1,0,1,2,1,1,2,9,0,0,13
"812235",2006,11,1,0,9,9,2,0,2,9,0,0,1200
"2300",2000,2,5,0,9,9,1,0,1,4,9,0,1
"406360",2003,6,1,9,9,4,9,9,9,9,0,0,322
"487940",2004,4,1,0,9,1,2,0,9,9,0,0,4
"402013",2003,6,1,0,9,9,9,0,9,2,1,0,53
"420199",2003,7,1,0,9,9,1,0,2,9,0,0,401
"180010",2001,7,1,9,9,4,3,9,2,9,0,9,3
"1085288",2009,6,9,0,9,9,2,0,1,9,1,9,31
"476292",2003,13,1,1,9,4,3,0,2,9,0,9,1
"335776",2002,10,1,9,9,9,3,1,2,9,0,9,62
"1099112",2009,7,9,9,9,9,4,9,2,9,9,9,43
"775714",2006,7,1,1,9,4,2,0,2,1,0,0,12
"695823",2005,10,1,0,1,1,3,9,2,1,1,0,9
"404182",2003,6,1,1,2,2,1,0,1,3,0,0,1
"769012",2006,6,9,0,9,3,9,0,9,9,1,1,7
"569710",2004,9,1,1,9,9,2,0,2,2,1,0,36
"238634",2002,3,1,1,9,9,9,9,9,9,0,9,6
"506390",2004,5,1,1,9,9,3,9,1,9,0,9,1
"884542",2007,7,5,0,9,4,2,9,2,9,1,9,3
"7996",2000,3,9,0,9,9,2,0,1,9,9,9,102
"189741",2001,8,1,0,9,9,2,1,2,9,0,9,963
"743377",2006,5,1,1,9,3,9,0,1,2,0,0,26
"382962",2003,5,1,0,9,9,9,1,2,9,0,0,360
"377177",2003,5,1,0,0,1,3,1,2,2,0,0,8
"980941",2008,7,1,0,1,3,2,1,2,4,0,0,2
"1020172",2008,10,5,0,9,1,2,9,2,9,1,0,9
"662555",2005,7,1,0,9,9,2,1,2,9,0,0,751
"136315",2001,5,1,0,1,1,2,0,3,4,0,0,7
"874220",2007,7,1,0,0,1,2,0,2,3,1,1,3
"445049",2003,9,1,0,9,9,2,0,2,9,1,1,338
"1052424",2009,5,1,0,0,3,2,0,1,2,0,0,19
"861245",2007,6,1,0,9,4,2,1,2,9,0,0,20
"266923",2002,5,3,9,1,2,9,9,9,9,0,0,3
"330743",2002,10,1,0,0,2,1,0,2,4,0,0,4
"57776",2000,7,1,0,1,2,3,1,2,3,1,0,7
"40324",2000,6,1,0,2,0,4,1,2,2,0,0,4
"51676",2000,6,5,0,1,1,3,0,2,2,1,0,1
"673216",2005,8,1,0,0,4,9,1,2,3,0,1,1
"1098692",2009,7,9,0,9,9,1,0,2,2,0,0,3
"929473",2007,13,1,1,2,3,9,9,2,9,1,1,1
"323372",2002,9,1,0,9,9,2,1,2,9,0,9,181
"219148",2001,11,1,0,9,1,4,1,2,9,1,9,1
"806934",2006,10,2,0,9,9,2,0,2,9,0,0,407
"523011",2004,6,1,0,9,9,3,0,2,9,0,0,294
"804061",2006,10,1,0,2,2,9,0,2,1,0,0,6
"75596",2000,8,3,0,9,4,9,9,2,9,0,9,11
"452710",2003,10,1,0,1,0,1,0,2,1,0,0,4
"245592",2002,4,1,0,9,9,9,0,1,9,0,0,1979
"882017",2007,7,3,0,0,9,2,0,2,1,0,0,15
"265291",2002,5,2,9,9,9,3,0,9,9,1,9,20
"1122503",2009,10,1,0,1,0,2,0,2,9,1,0,24
"841376",2007,5,1,0,0,9,2,0,1,1,0,0,28
"1114895",2009,9,1,0,9,4,9,0,2,9,0,9,3
"226883",2001,12,1,0,9,9,2,0,2,9,0,9,514
"1078747",2009,6,2,1,9,9,9,9,2,4,1,0,1
"151960",2001,5,9,0,9,9,9,9,9,9,9,9,1298
"642251",2005,6,1,0,2,4,9,0,2,1,0,0,15
"1074374",2009,6,1,1,0,9,3,0,9,9,0,0,23
"753474",2006,6,1,0,1,3,4,0,1,2,0,0,10
"532249",2004,6,5,0,0,2,3,0,2,1,0,0,2
"386389",2003,5,2,0,0,1,1,0,9,3,1,0,1
"348391",2002,12,1,0,1,2,2,0,2,1,0,0,38
"43953",2000,6,1,0,9,9,9,9,9,9,9,9,1279
"662856",2005,7,1,1,0,1,2,0,2,2,1,0,8
"1093482",2009,7,2,0,9,9,2,0,2,9,9,9,642
"710026",2005,11,5,0,9,9,9,0,2,1,0,0,38
"538251",2004,7,1,0,0,2,3,1,2,9,0,0,8
"152233",2001,5,9,9,9,9,9,9,9,9,9,9,5653
"982358",2008,7,1,0,2,4,4,0,2,1,0,0,15
"541765",2004,7,1,0,9,4,3,1,2,1,1,0,34
"9731",2000,4,1,0,1,9,2,0,1,1,0,0,147
"16915",2000,4,5,0,2,0,3,0,1,3,0,0,4
"144329",2001,5,1,9,9,9,9,9,9,1,9,9,585
"311983",2002,8,1,0,9,9,3,1,2,9,1,0,624
"925847",2007,12,2,0,9,9,1,0,2,9,0,0,36
"526569",2004,6,1,1,9,4,9,0,1,3,1,0,1
"895757",2007,8,5,0,1,0,1,9,2,9,9,9,4
"58311",2000,7,1,0,2,0,2,0,2,3,0,0,37
"1053351",2009,5,1,0,1,1,3,0,1,1,0,0,82
"901478",2007,9,1,0,9,9,2,0,2,9,0,0,1682
"74226",2000,8,1,9,9,9,3,1,2,9,0,9,1701
"643257",2005,6,1,0,9,3,2,0,2,1,0,0,23
"785308",2006,8,1,0,9,2,2,0,2,9,1,0,22
"541308",2004,7,1,0,9,1,9,1,2,2,0,0,15
"792246",2006,8,6,1,2,0,2,0,2,3,0,0,4
"833303",2007,4,1,0,9,9,3,0,1,1,1,0,51
"93834",2000,10,1,1,9,9,1,1,2,9,0,9,25
"416341",2003,7,1,0,0,1,3,0,2,1,0,0,117
"301484",2002,7,1,9,9,9,2,9,2,9,0,9,11
"662532",2005,7,1,0,9,9,2,0,2,9,1,0,915
"1107470",2009,8,3,0,9,3,2,0,2,1,1,0,10
"662623",2005,7,1,0,9,9,3,1,2,9,0,0,532
"546171",2004,7,3,0,0,1,9,9,2,9,0,0,10
"1017022",2008,10,1,1,1,1,9,0,2,1,0,0,9
"687084",2005,9,1,0,9,0,2,9,2,9,0,0,37
"974213",2008,6,3,0,9,9,4,0,1,9,0,0,16
"260113",2002,5,1,0,9,9,2,0,1,9,0,1,2
"219925",2001,11,1,0,9,9,9,9,2,9,9,9,243
"655897",2005,6,5,1,9,9,2,0,2,2,1,1,1
"400466",2003,6,1,0,9,1,9,1,2,1,0,0,34
"840161",2007,4,9,0,9,9,1,0,9,9,0,0,10
"395553",2003,6,1,0,0,4,3,1,2,1,0,0,36
"887129",2007,8,1,0,0,1,3,9,2,9,1,9,6
"1022582",2008,11,1,0,1,3,2,0,2,3,0,0,5
"1118961",2009,9,3,0,9,9,9,9,2,9,0,9,26
"625585",2005,5,1,0,9,9,2,0,1,9,0,0,1584
